scenario,band,day,hour,threshold_m,street_share,node_share,open_locations,open_locations_paris
strict,high,Wed,17,200,0.6397451114184294,0.7169767381685512,3137,2806
strict,high,Wed,17,300,0.8254739773209486,0.8837684684451574,3137,2806
strict,high,Wed,17,400,0.8957215816654873,0.9415996066965094,3137,2806
strict,high,Wed,18,100,0.2606109106246769,0.3368696147178306,3075,2758
strict,high,Wed,18,200,0.6361607460022461,0.713535332626077,3075,2758
strict,high,Wed,18,300,0.8237172003791636,0.8822806427407043,3075,2758
strict,high,Wed,18,400,0.8947217429400383,0.9408621626516935,3075,2758
strict,high,Wed,19,100,0.25843456365350276,0.3334799596346418,3034,2724
strict,high,Wed,19,200,0.6345499492116651,0.7126167619737626,3034,2724
strict,high,Wed,19,300,0.8232131968620613,0.882034828059099,3034,2724
strict,high,Wed,19,400,0.8944371691813154,0.9407069112738375,3034,2724
strict,high,Wed,20,100,0.033930858356453944,0.04864543172820659,288,251
strict,high,Wed,20,200,0.12764945444321854,0.1547209356483039,288,251
strict,high,Wed,20,300,0.2695531134155411,0.3063885941987735,288,251
strict,high,Wed,20,400,0.427229513238622,0.47134318317075063,288,251
strict,high,Wed,21,100,0.03317571913937516,0.04790798768339069,280,245
strict,high,Wed,21,200,0.12471637092214602,0.15191347323207494,280,245
strict,high,Wed,21,300,0.26301994507124404,0.3000621005511424,280,245
strict,high,Wed,21,400,0.41953251226178045,0.463981680337413,280,245
strict,high,Wed,22,100,0.03232982145646751,0.04689885372732683,271,236
strict,high,Wed,22,200,0.1214561221516679,0.1480063135560328,271,236
strict,high,Wed,22,300,0.2558029438026183,0.2917690894506689,271,236
strict,high,Wed,22,400,0.40971395711386016,0.45367040132481173,271,236
strict,high,Wed,23,100,0.032105135508026836,0.0466401014309002,267,233
strict,high,Wed,23,200,0.12016086847220915,0.146647863999793,267,233
strict,high,Wed,23,300,0.2526644640344579,0.28885812611586925,267,233
strict,high,Wed,23,400,0.4049997809102754,0.449349237974487,267,233
strict,high,Thu,0,100,0.03192286974235014,0.046420161978937564,265,231
strict,high,Thu,0,200,0.1193281773296033,0.14575516857712112,265,231
strict,high,Thu,0,300,0.2507266369388815,0.2868916086630269,265,231
strict,high,Thu,0,400,0.4013727746921193,0.44514451315755427,265,231
strict,high,Thu,1,100,0.030751435068639563,0.04328925919217533,261,227
strict,high,Thu,1,200,0.11711309781831619,0.14231376303464693,261,227
strict,high,Thu,1,300,0.2490688166226893,0.2853520324992884,261,227
strict,high,Thu,1,400,0.40002105286896555,0.44413537920149043,261,227
strict,high,Thu,2,100,0.030492627149347775,0.042810567443786064,260,226
strict,high,Thu,2,200,0.11627024440146635,0.14092943824876447,260,226
strict,high,Thu,2,300,0.24736011725246504,0.28277744714984343,260,226
strict,high,Thu,2,400,0.39707542174239624,0.439904779154915,260,226
strict,high,Thu,3,100,0.030492627149347775,0.042810567443786064,260,226
strict,high,Thu,3,200,0.11627024440146635,0.14092943824876447,260,226
strict,high,Thu,3,300,0.24736011725246504,0.28277744714984343,260,226
strict,high,Thu,3,400,0.39707542174239624,0.439904779154915,260,226
strict,high,Thu,4,100,0.03166406182305836,0.045941470230548294,264,230
strict,high,Thu,4,200,0.11848532391275347,0.14437084379123866,264,230
strict,high,Thu,4,300,0.2490179375686572,0.2843170233135819,264,230
strict,high,Thu,4,400,0.39842714356555,0.4409139131109789,264,230
strict,high,Thu,5,100,0.03166406182305836,0.045941470230548294,264,230
strict,high,Thu,5,200,0.11848532391275347,0.14437084379123866,264,230
strict,high,Thu,5,300,0.2490179375686572,0.2843170233135819,264,230
strict,high,Thu,5,400,0.39842714356555,0.4409139131109789,264,230
strict,high,Thu,6,100,0.03195665779273666,0.04621316014179626,269,234
strict,high,Thu,6,200,0.11964243750144349,0.1456257924289078,269,234
strict,high,Thu,6,300,0.2515372735064006,0.28682692058892023,269,234
strict,high,Thu,6,400,0.4020406437011943,0.4439542525939918,269,234
strict,high,Thu,7,100,0.03475481717551888,0.050637824410691645,305,260
strict,high,Thu,7,200,0.12995203012952375,0.15893859808005795,305,260
strict,high,Thu,7,300,0.27216217130373316,0.3114989520531995,305,260
strict,high,Thu,7,400,0.42720018977445623,0.47294744740859573,305,260
strict,high,Thu,8,100,0.2618615038303062,0.3384221284963904,3115,2783
strict,high,Thu,8,200,0.6379926543521803,0.7160581675162367,3115,2783
strict,high,Thu,8,300,0.8248302658062466,0.8830180867855202,3115,2783
strict,high,Thu,8,400,0.8956761192159606,0.9415607938520454,3115,2783
strict,high,Thu,9,100,0.26598586070050617,0.34348073589153105,3182,2841
strict,high,Thu,9,200,0.6429661775064228,0.7205863327037028,3182,2841
strict,high,Thu,9,300,0.826541816809945,0.8845835381789013,3182,2841
strict,high,Thu,9,400,0.8959933505920945,0.9417677956891868,3182,2841
strict,high,Thu,10,100,0.2663057963552937,0.343791238647243,3189,2848
strict,high,Thu,10,200,0.6430747623976275,0.7206768960074521,3189,2848
strict,high,Thu,10,300,0.8265503436201718,0.8845835381789013,3189,2848
strict,high,Thu,10,400,0.8959933505920945,0.9417677956891868,3189,2848
strict,high,Thu,11,100,0.2663057963552937,0.343791238647243,3188,2848
strict,high,Thu,11,200,0.6430747623976275,0.7206768960074521,3188,2848
strict,high,Thu,11,300,0.8265503436201718,0.8845835381789013,3188,2848
strict,high,Thu,11,400,0.8959933505920945,0.9417677956891868,3188,2848
strict,high,Thu,12,100,0.2651809442451985,0.34245866432064587,3159,2823
strict,high,Thu,12,200,0.6424765382296224,0.7202240794887055,3159,2823
strict,high,Thu,12,300,0.8262346751592108,0.884415349186224,3159,2823
strict,high,Thu,12,400,0.8958404498967675,0.9417160452299014,3159,2823
strict,high,Thu,13,100,0.26535764274528556,0.3426397909281445,3175,2835
strict,high,Thu,13,200,0.6421158612331879,0.7198488886588869,3175,2835
strict,high,Thu,13,300,0.8260928687837232,0.8841307216601547,3175,2835
strict,high,Thu,13,400,0.8958930137394057,0.9416772323854374,3175,2835
strict,high,Thu,14,100,0.2662726360534019,0.343713612958315,3189,2848
strict,high,Thu,14,200,0.6429237969880899,0.7205345822444175,3189,2848
strict,high,Thu,14,300,0.8265465155048061,0.88457060056408,3189,2848
strict,high,Thu,14,400,0.8959933505920945,0.9417677956891868,3189,2848
strict,high,Thu,15,100,0.26621306526217753,0.343674800113851,3187,2847
strict,high,Thu,15,200,0.6426232285070036,0.7202499547183481,3187,2847
strict,high,Thu,15,300,0.8262926896264956,0.8844670996455094,3187,2847
strict,high,Thu,15,400,0.8958642757363349,0.9416772323854374,3187,2847
strict,high,Thu,16,100,0.2657340036540937,0.3430408569876058,3171,2832
strict,high,Thu,16,200,0.6419123804709804,0.7194736978290682,3171,2832
strict,high,Thu,16,300,0.82603466572238,0.8843247858824748,3171,2832
strict,high,Thu,16,400,0.895744709115284,0.9416384195409734,3171,2832
strict,high,Thu,17,100,0.2636694141601226,0.34051802209744614,3134,2801
strict,high,Thu,17,200,0.6398091917109215,0.7173778042280126,3134,2801
strict,high,Thu,17,300,0.8255508956118577,0.8837167179858721,3134,2801
strict,high,Thu,17,400,0.8957199205466546,0.9415996066965094,3134,2801
strict,high,Thu,18,100,0.26025137809713167,0.3364038605842627,3070,2751
strict,high,Thu,18,200,0.635893162179424,0.713612958315005,3070,2751
strict,high,Thu,18,300,0.823713800589015,0.882228892281419,3070,2751
strict,high,Thu,18,400,0.8947025922402544,0.9408492250368722,3070,2751
strict,high,Thu,19,100,0.2580750311259576,0.3330142055010738,3027,2716
strict,high,Thu,19,200,0.6342823653888429,0.7126943876626906,3027,2716
strict,high,Thu,19,300,0.8232097970719126,0.8819830775998136,3027,2716
strict,high,Thu,19,400,0.8944180184815315,0.9406939736590162,3027,2716
strict,high,Thu,20,100,0.033930858356453944,0.04864543172820659,288,251
strict,high,Thu,20,200,0.12764945444321854,0.1547209356483039,288,251
strict,high,Thu,20,300,0.2695531134155411,0.3063885941987735,288,251
strict,high,Thu,20,400,0.427229513238622,0.47134318317075063,288,251
strict,high,Thu,21,100,0.03317571913937516,0.04790798768339069,281,245
strict,high,Thu,21,200,0.12471637092214602,0.15191347323207494,281,245
strict,high,Thu,21,300,0.26301994507124404,0.3000621005511424,281,245
strict,high,Thu,21,400,0.41953251226178045,0.463981680337413,281,245
strict,high,Thu,22,100,0.03232982145646751,0.04689885372732683,271,236
strict,high,Thu,22,200,0.1214561221516679,0.1480063135560328,271,236
strict,high,Thu,22,300,0.2558029438026183,0.2917690894506689,271,236
strict,high,Thu,22,400,0.40971395711386016,0.45367040132481173,271,236
strict,high,Thu,23,100,0.032105135508026836,0.0466401014309002,267,233
strict,high,Thu,23,200,0.12016086847220915,0.146647863999793,267,233
strict,high,Thu,23,300,0.2526644640344579,0.28885812611586925,267,233
strict,high,Thu,23,400,0.4049997809102754,0.449349237974487,267,233
strict,high,Fri,0,100,0.03192286974235014,0.046420161978937564,265,231
strict,high,Fri,0,200,0.1193281773296033,0.14575516857712112,265,231
strict,high,Fri,0,300,0.2507266369388815,0.2868916086630269,265,231
strict,high,Fri,0,400,0.4013727746921193,0.44514451315755427,265,231
strict,high,Fri,1,100,0.030751435068639563,0.04328925919217533,261,227
strict,high,Fri,1,200,0.11711309781831619,0.14231376303464693,261,227
strict,high,Fri,1,300,0.2490688166226893,0.2853520324992884,261,227
strict,high,Fri,1,400,0.40002105286896555,0.44413537920149043,261,227
strict,high,Fri,2,100,0.030492627149347775,0.042810567443786064,260,226
strict,high,Fri,2,200,0.11627024440146635,0.14092943824876447,260,226
