scenario,day,hour,arr,pop_share,arr_pop
strict_unconditional,Sun,3,75111,0.06806638102162753,130565.99999999999
strict_unconditional,Sun,3,75112,0.08988468246225559,138440.44177335376
strict_unconditional,Sun,3,75113,0.12819919564621024,167939.9038655723
strict_unconditional,Sun,3,75114,0.0618171769565805,118918.16005921719
strict_unconditional,Sun,3,75115,0.07385970156374291,213509.978186194
strict_unconditional,Sun,3,75116,0.0988526409898552,158721.9553879362
strict_unconditional,Sun,3,75117,0.08431333772193422,155700.4569304713
strict_unconditional,Sun,3,75118,0.09878039946911782,158588.97282913688
strict_unconditional,Sun,3,75119,0.05661973915892512,175756.86880710768
strict_unconditional,Sun,3,75120,0.06909477947955182,181633.45733693315
strict_unconditional,Sun,12,75101,0.6221897785652665,15617.5
strict_unconditional,Sun,12,75102,0.5824104200330491,19284.5
strict_unconditional,Sun,12,75103,0.38095690743407945,32386.0
strict_unconditional,Sun,12,75104,0.4717114723160385,22799.5
strict_unconditional,Sun,12,75105,0.19795383031090832,41124.5
strict_unconditional,Sun,12,75106,0.37603358583567126,32264.999999999996
strict_unconditional,Sun,12,75107,0.16740452360474153,45873.0
strict_unconditional,Sun,12,75108,0.39414060731548983,37661.0
strict_unconditional,Sun,12,75109,0.3648547011176004,52491.0
strict_unconditional,Sun,12,75110,0.291537418723089,81849.5
strict_unconditional,Sun,12,75111,0.24033071380109572,130565.99999999999
strict_unconditional,Sun,12,75112,0.18396923934865503,138440.44177335376
strict_unconditional,Sun,12,75113,0.2028849944942859,167939.9038655723
strict_unconditional,Sun,12,75114,0.22932558050501692,118918.16005921719
strict_unconditional,Sun,12,75115,0.20279443154598067,213509.978186194
strict_unconditional,Sun,12,75116,0.19015007534333733,158721.9553879362
strict_unconditional,Sun,12,75117,0.20096112409832276,155700.4569304713
strict_unconditional,Sun,12,75118,0.2698073513149521,158588.97282913688
strict_unconditional,Sun,12,75119,0.23954781049816057,175756.86880710768
strict_unconditional,Sun,12,75120,0.17297450638299447,181633.45733693315
