scenario,band,day,hour,threshold_m,pop_share,pop_share_node_alloc,residents_covered
strict_unconditional,central,Mon,21,200,0.11011642356170426,0.11723008769326082,218155
strict_unconditional,central,Mon,21,300,0.2432004813323707,0.25009036557393355,481812
strict_unconditional,central,Mon,21,400,0.40441491585267525,0.41315023050105965,801200
strict_unconditional,central,Mon,22,100,0.026526625181805943,0.032143880474115885,52553
strict_unconditional,central,Mon,22,200,0.10656579663544494,0.11362675409959751,211121
strict_unconditional,central,Mon,22,300,0.23554844830255295,0.2412409172266383,466653
strict_unconditional,central,Mon,22,400,0.3925750587896606,0.4010841522814193,777743
strict_unconditional,central,Mon,23,100,0.026177071950679476,0.03183204165360849,51860
strict_unconditional,central,Mon,23,200,0.10503409689310042,0.11220869520768305,208086
strict_unconditional,central,Mon,23,300,0.23255676280000268,0.23852714267084948,460726
strict_unconditional,central,Mon,23,400,0.38816759657927724,0.3967921458380469,769012
strict_unconditional,central,Tue,0,100,0.025985097369154435,0.031594856094906094,51480
strict_unconditional,central,Tue,0,200,0.10431352140461489,0.11161666257448125,206659
strict_unconditional,central,Tue,0,300,0.2309005189941529,0.23726768044172486,457445
strict_unconditional,central,Tue,0,400,0.3853188178554873,0.39444514532092184,763368
strict_unconditional,central,Tue,1,100,0.02566280549470073,0.030998354140597806,50841
strict_unconditional,central,Tue,1,200,0.10359717735958951,0.11079657160608286,205240
strict_unconditional,central,Tue,1,300,0.23024620871716747,0.23656895849169177,456148
strict_unconditional,central,Tue,1,400,0.38462343302772345,0.39356026420594503,761990
strict_unconditional,central,Tue,2,100,0.02566280549470073,0.030998354140597806,50841
strict_unconditional,central,Tue,2,200,0.10359717735958951,0.11079657160608286,205240
strict_unconditional,central,Tue,2,300,0.23024620871716747,0.23656895849169177,456148
strict_unconditional,central,Tue,2,400,0.38462343302772345,0.39356026420594503,761990
strict_unconditional,central,Tue,3,100,0.02566280549470073,0.030998354140597806,50841
strict_unconditional,central,Tue,3,200,0.10359717735958951,0.11079657160608286,205240
strict_unconditional,central,Tue,3,300,0.23024620871716747,0.23656895849169177,456148
strict_unconditional,central,Tue,3,400,0.38462343302772345,0.39356026420594503,761990
strict_unconditional,central,Tue,4,100,0.025985097369154435,0.031594856094906094,51480
strict_unconditional,central,Tue,4,200,0.10431352140461489,0.11161666257448125,206659
strict_unconditional,central,Tue,4,300,0.2309005189941529,0.23726768044172486,457445
strict_unconditional,central,Tue,4,400,0.3853188178554873,0.39444514532092184,763368
strict_unconditional,central,Tue,5,100,0.025985097369154435,0.031594856094906094,51480
strict_unconditional,central,Tue,5,200,0.10431352140461489,0.11161666257448125,206659
strict_unconditional,central,Tue,5,300,0.2309005189941529,0.23726768044172486,457445
strict_unconditional,central,Tue,5,400,0.3853188178554873,0.39444514532092184,763368
strict_unconditional,central,Tue,6,100,0.026230266842649123,0.031763798589910644,51966
strict_unconditional,central,Tue,6,200,0.10533635887274163,0.11250520245612636,208685
strict_unconditional,central,Tue,6,300,0.23301480733513075,0.2396956664166806,461633
strict_unconditional,central,Tue,6,400,0.3890875829745497,0.39882751902485397,770834
strict_unconditional,central,Tue,7,100,0.028781279616812906,0.03459000773837817,57020
strict_unconditional,central,Tue,7,200,0.11604526283981136,0.12404165808425661,229901
strict_unconditional,central,Tue,7,300,0.25650750365205266,0.26413142032594905,508175
strict_unconditional,central,Tue,7,400,0.42115281710183927,0.4309890902716516,834360
strict_unconditional,central,Tue,8,100,0.038064622935299434,0.046799659040817246,75411
strict_unconditional,central,Tue,8,200,0.15177688770587025,0.16156203623178494,300690
strict_unconditional,central,Tue,8,300,0.32677288491660456,0.33768222567938,647380
strict_unconditional,central,Tue,8,400,0.5207172810606487,0.5335812081882305,1031610
strict_unconditional,central,Tue,9,100,0.3143217354446815,0.3770349087439848,622713
strict_unconditional,central,Tue,9,200,0.7619274434057429,0.7903274655673141,1509479
strict_unconditional,central,Tue,9,300,0.9475523552521935,0.9518452436473223,1877227
strict_unconditional,central,Tue,9,400,0.9884493625333648,0.9886595611491941,1958249
strict_unconditional,central,Tue,10,100,0.3144784153923423,0.3771493608710849,623023
strict_unconditional,central,Tue,10,200,0.7619527526889432,0.7903494479146386,1509530
strict_unconditional,central,Tue,10,300,0.9475662005605632,0.9518452436473223,1877254
strict_unconditional,central,Tue,10,400,0.9884493625333648,0.9886595611491941,1958249
strict_unconditional,central,Tue,11,100,0.3144784153923423,0.3771493608710849,623023
strict_unconditional,central,Tue,11,200,0.7619527526889432,0.7903494479146386,1509530
strict_unconditional,central,Tue,11,300,0.9475662005605632,0.9518452436473223,1877254
strict_unconditional,central,Tue,11,400,0.9884493625333648,0.9886595611491941,1958249
strict_unconditional,central,Tue,12,100,0.312348457237271,0.37428949144855694,618804
strict_unconditional,central,Tue,12,200,0.7605458840078315,0.7893894160376503,1506742
strict_unconditional,central,Tue,12,300,0.9470321423427916,0.9516956019961799,1876196
strict_unconditional,central,Tue,12,400,0.9883586375749783,0.9886416254352581,1958070
strict_unconditional,central,Tue,13,100,0.3127204047018308,0.3746635882342723,619541
strict_unconditional,central,Tue,13,200,0.7604865578606725,0.7891765786332016,1506625
strict_unconditional,central,Tue,13,300,0.9470830832832893,0.9516603920702329,1876297
