rank,lat,lon,x_l93,y_l93,osm_node,residents_gained_est,cum_share_strict_uncond_est,also_selected_by_node_allocation_within_100m,nearest_existing_aed_m,nearest_existing_aed_name,nearest_existing_aed_basis,address,address_type,address_distance_m,geocoder,arrondissement
20,48.870599,2.377478,654336.0,6863576.9,11059758382,4280,0.1504,True,39,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,1 Rue de la Présentation 75011 Paris,housenumber,10,api-adresse.data.gouv.fr,75011
21,48.878747,2.34521,651976.5,6864502.1,11032821126,4254,0.1526,True,43,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,41 Rue Marguerite de Rochechouart 75009 Paris,housenumber,8,api-adresse.data.gouv.fr,75009
22,48.873547,2.383039,654746.4,6863901.6,11059758190,4190,0.1547,False,97,Taos Amrouche - Entrée de l'association,assumed_business,94 Rue Rébeval 75019 Paris,housenumber,10,api-adresse.data.gouv.fr,75019
23,48.886583,2.326146,650585.8,6865385.1,11066578269,4181,0.1568,True,65,CLA232810985,none,50 Avenue de Clichy 75018 Paris,housenumber,9,api-adresse.data.gouv.fr,75018
24,48.87538,2.402889,656204.0,6864094.2,11065114697,4119,0.1589,False,143,SLA 20 - Hall couvert à côté de l'entrée de l'atelier,assumed_business,100 Rue Haxo 75020 Paris,housenumber,13,api-adresse.data.gouv.fr,75020
25,48.871756,2.404228,656299.1,6863690.4,11056957994,4095,0.1609,False,20,FRED PA-1 / RATP,assumed_business,183 Avenue Gambetta 75020 Paris,housenumber,4,api-adresse.data.gouv.fr,75020
26,48.83875,2.396169,655679.9,6860024.9,11102226307,4093,0.163,True,67,Église du Saint-Esprit,assumed_business,95 Rue Claude Decaen 75012 Paris,housenumber,6,api-adresse.data.gouv.fr,75012
27,48.87535,2.392399,655434.5,6864096.7,11055052935,4090,0.1651,False,61,DIVISION 19 - 2eme etage Gauche,assumed_business,38 Rue Levert 75020 Paris,housenumber,14,api-adresse.data.gouv.fr,75020
28,48.843676,2.286473,647633.5,6860639.8,10804457915,4026,0.1671,False,86,Résidence services Oscar Roty - ACCUEIL,assumed_business,110 Rue de Javel 75015 Paris,housenumber,12,api-adresse.data.gouv.fr,75015
29,48.83871,2.289628,647860.2,6860085.5,10242178937,3925,0.1691,False,85,Gymnase Saint Lambert,assumed_business,185 Rue de la Croix Nivert 75015 Paris,housenumber,6,api-adresse.data.gouv.fr,75015
30,48.854113,2.399928,655968.8,6861731.1,11052838421,3891,0.171,True,46,EPI BUZENVAL,assumed_business,42 Rue des Vignoles 75020 Paris,housenumber,12,api-adresse.data.gouv.fr,75020
31,48.835887,2.300745,648673.3,6859764.4,10176213417,3889,0.173,True,89,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,238 Rue de la Convention 75015 Paris,housenumber,11,api-adresse.data.gouv.fr,75015
32,48.893007,2.327204,650669.5,6866098.8,11066698037,3885,0.175,False,28,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,2 Rue de la Jonquière 75017 Paris,housenumber,20,api-adresse.data.gouv.fr,75017
33,48.828031,2.369462,653710.2,6858848.4,11025975293,3885,0.1769,False,133,ADNR,assumed_business,14 Rue Jean Colly 75013 Paris,housenumber,9,api-adresse.data.gouv.fr,75013
34,48.832011,2.322254,650248.4,6859319.7,11042344839,3854,0.1789,True,106,ASSOCIATION APTE,assumed_business,29 Rue de la Sablière 75014 Paris,housenumber,10,api-adresse.data.gouv.fr,75014
35,48.883369,2.394815,655618.5,6864987.0,11056442647,3844,0.1808,True,104,EHPAD HEROLD - ACCUEIL,assumed_business,125 Boulevard Sérurier 75019 Paris,housenumber,6,api-adresse.data.gouv.fr,75019
36,48.870669,2.388196,655122.2,6863578.5,11059199069,3843,0.1827,True,113,COLLEGE JEAN BAPTISTE CLEMENT,assumed_business,75 Rue des Couronnes 75020 Paris,housenumber,9,api-adresse.data.gouv.fr,75020
37,48.893737,2.322017,650289.9,6866183.2,11071176124,3830,0.1847,False,111,Permanence Sociale d'Accueil Gauthey,assumed_business,55 Rue de la Jonquière 75017 Paris,housenumber,6,api-adresse.data.gouv.fr,75017
38,48.850545,2.271156,646516.5,6861413.8,10994947288,3828,0.1866,True,24,RITM RUE JEAN DE LAFONTAINE,assumed_business,37 Rue Jean de la Fontaine 75016 Paris,housenumber,5,api-adresse.data.gouv.fr,75016
39,48.835804,2.399789,655943.1,6859695.3,11104445080,3815,0.1885,False,118,CRECHE MUNICIPALE EDOUARD ROBERT,assumed_business,38 Rue Claude Decaen 75012 Paris,housenumber,11,api-adresse.data.gouv.fr,75012
40,48.894501,2.344528,651941.1,6866254.2,11081114664,3810,0.1905,False,137,CRECHE MUNICIPALE HERMEL,assumed_business,7 Rue Versigny 75018 Paris,housenumber,8,api-adresse.data.gouv.fr,75018
41,48.857518,2.38014,654519.8,6862120.9,11056815662,3801,0.1924,True,26,FRED PA-1 ENTIEREMENT AUTOMATIQUE,assumed_business,134 Rue de la Roquette 75011 Paris,housenumber,7,api-adresse.data.gouv.fr,75011
42,48.841728,2.282382,647331.4,6860425.9,10240520700,3767,0.1943,False,113,2624,assumed_business,45 Rue Lacordaire 75015 Paris,housenumber,7,api-adresse.data.gouv.fr,75015
43,48.889829,2.343084,651830.9,6865735.6,11081090579,3758,0.1962,False,45,La FEMIS ,assumed_business,40 Rue du Mont Cenis 75018 Paris,housenumber,10,api-adresse.data.gouv.fr,75018
44,48.890525,2.376619,654290.5,6865793.0,11078419603,3735,0.1981,True,47,75 - AEMO Flandre,assumed_business,94 Avenue de Flandre 75019 Paris,housenumber,23,api-adresse.data.gouv.fr,75019
45,48.889746,2.303712,648943.9,6865751.1,13056592964,3720,0.1999,True,90,CLA232510306,assumed_business,207 Boulevard Malesherbes 75017 Paris,housenumber,12,api-adresse.data.gouv.fr,75017
